Lokasi_Clean,Kategori_Pekerjaan,Jumlah_Lowongan
Bekasi,Administrative & Customer Service,7
Bekasi,"Creative, Design & Media",16
Bekasi,Engineering & Manufacturing,54
Bekasi,Finance & Accounting,11
Bekasi,HR & General Affairs,4
Bekasi,Healthcare & Medical,8
Bekasi,"IT, Tech & Data",6
Bekasi,Lainnya / Umum,110
Bekasi,Logistics & Supply Chain,26
Bekasi,Management & Supervisor,50
Bekasi,"Retail, F&B & Hospitality",3
Bekasi,Sales & Marketing,122
Bogor,Administrative & Customer Service,2
Bogor,"Creative, Design & Media",3
Bogor,Engineering & Manufacturing,11
Bogor,Finance & Accounting,1
Bogor,HR & General Affairs,2
Bogor,Healthcare & Medical,1
Bogor,"IT, Tech & Data",1
Bogor,Lainnya / Umum,46
Bogor,Logistics & Supply Chain,1
Bogor,Management & Supervisor,14
Bogor,"Retail, F&B & Hospitality",5
Bogor,Sales & Marketing,41
Depok,Administrative & Customer Service,3
Depok,"Creative, Design & Media",1
Depok,Engineering & Manufacturing,9
Depok,Finance & Accounting,1
Depok,Lainnya / Umum,23
Depok,Logistics & Supply Chain,2
Depok,Management & Supervisor,8
Depok,"Retail, F&B & Hospitality",1
Depok,Sales & Marketing,21
Jakarta Barat,Administrative & Customer Service,19
Jakarta Barat,"Creative, Design & Media",37
Jakarta Barat,Engineering & Manufacturing,23
Jakarta Barat,Finance & Accounting,22
Jakarta Barat,HR & General Affairs,2
Jakarta Barat,Healthcare & Medical,8
Jakarta Barat,"IT, Tech & Data",13
Jakarta Barat,Lainnya / Umum,173
Jakarta Barat,Logistics & Supply Chain,22
Jakarta Barat,Management & Supervisor,50
Jakarta Barat,"Retail, F&B & Hospitality",14
Jakarta Barat,Sales & Marketing,891
Jakarta Pusat,Administrative & Customer Service,17
Jakarta Pusat,"Creative, Design & Media",7
Jakarta Pusat,Engineering & Manufacturing,26
Jakarta Pusat,Finance & Accounting,32
Jakarta Pusat,HR & General Affairs,7
Jakarta Pusat,Healthcare & Medical,2
Jakarta Pusat,"IT, Tech & Data",10
Jakarta Pusat,Lainnya / Umum,151
Jakarta Pusat,Logistics & Supply Chain,12
Jakarta Pusat,Management & Supervisor,42
Jakarta Pusat,"Retail, F&B & Hospitality",5
Jakarta Pusat,Sales & Marketing,199
Jakarta Raya (General),Administrative & Customer Service,39
Jakarta Raya (General),"Creative, Design & Media",31
Jakarta Raya (General),Engineering & Manufacturing,48
Jakarta Raya (General),Finance & Accounting,36
Jakarta Raya (General),HR & General Affairs,10
Jakarta Raya (General),Healthcare & Medical,14
Jakarta Raya (General),"IT, Tech & Data",53
Jakarta Raya (General),Lainnya / Umum,420
Jakarta Raya (General),Logistics & Supply Chain,30
Jakarta Raya (General),Management & Supervisor,833
Jakarta Raya (General),"Retail, F&B & Hospitality",23
Jakarta Raya (General),Sales & Marketing,2453
Jakarta Selatan,Administrative & Customer Service,20
Jakarta Selatan,"Creative, Design & Media",689
Jakarta Selatan,Engineering & Manufacturing,64
Jakarta Selatan,Finance & Accounting,48
Jakarta Selatan,HR & General Affairs,8
Jakarta Selatan,Healthcare & Medical,666
Jakarta Selatan,"IT, Tech & Data",52
Jakarta Selatan,Lainnya / Umum,986
Jakarta Selatan,Logistics & Supply Chain,35
Jakarta Selatan,Management & Supervisor,1423
Jakarta Selatan,"Retail, F&B & Hospitality",9
Jakarta Selatan,Sales & Marketing,941
Jakarta Timur,Administrative & Customer Service,8
Jakarta Timur,"Creative, Design & Media",14
Jakarta Timur,Engineering & Manufacturing,11
Jakarta Timur,Finance & Accounting,8
Jakarta Timur,HR & General Affairs,3
Jakarta Timur,Healthcare & Medical,3
Jakarta Timur,"IT, Tech & Data",3
Jakarta Timur,Lainnya / Umum,64
Jakarta Timur,Logistics & Supply Chain,4
Jakarta Timur,Management & Supervisor,18
Jakarta Timur,Sales & Marketing,67
Jakarta Utara,Administrative & Customer Service,28
Jakarta Utara,"Creative, Design & Media",37
Jakarta Utara,Engineering & Manufacturing,26
Jakarta Utara,Finance & Accounting,30
Jakarta Utara,HR & General Affairs,6
Jakarta Utara,Healthcare & Medical,4
Jakarta Utara,"IT, Tech & Data",7
Jakarta Utara,Lainnya / Umum,885
Jakarta Utara,Logistics & Supply Chain,24
Jakarta Utara,Management & Supervisor,57
Jakarta Utara,"Retail, F&B & Hospitality",11
Jakarta Utara,Sales & Marketing,889
Tangerang,Administrative & Customer Service,27
Tangerang,"Creative, Design & Media",41
Tangerang,Engineering & Manufacturing,52
Tangerang,Finance & Accounting,688
Tangerang,HR & General Affairs,4
Tangerang,Healthcare & Medical,9
Tangerang,"IT, Tech & Data",13
Tangerang,Lainnya / Umum,234
Tangerang,Logistics & Supply Chain,24
Tangerang,Management & Supervisor,71
Tangerang,"Retail, F&B & Hospitality",19
Tangerang,Sales & Marketing,936
Tangerang Selatan,Administrative & Customer Service,3
Tangerang Selatan,"Creative, Design & Media",5
Tangerang Selatan,Engineering & Manufacturing,14
Tangerang Selatan,Finance & Accounting,7
Tangerang Selatan,Healthcare & Medical,3
Tangerang Selatan,"IT, Tech & Data",1
Tangerang Selatan,Lainnya / Umum,715
Tangerang Selatan,Logistics & Supply Chain,2
Tangerang Selatan,Management & Supervisor,15
Tangerang Selatan,"Retail, F&B & Hospitality",2
Tangerang Selatan,Sales & Marketing,55
